,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
25172,2012,ohio_greene,2.7888,2.3574644723623868,2.185556520747108,-1.187615648833106,0.6128246498067538,-2.9244987197364423,-3.9203782556271256,-3.701897528052194,0.0147683080976666
25211,2012,ohio_hamilton,3.0172799999999995,4.075000127156575,3.9583333333333335,2.0699999332427983,0.5097418064379838,1.2999999523162842,-3.2133332093556723,-2.8299999237060547,0.0147683080976666
25249,2012,ohio_montgomery,2.00928,2.1346342702572145,1.913296160874544,-2.756606927181357,0.4883264512525276,-3.565583421765263,-4.255298665838066,-3.67073610233118,0.0147683080976666
25291,2012,ohio_preble,2.53344,1.6151886930826862,1.3683447369843675,-3.047261718994738,0.5680517498986601,-3.84968668743458,-4.463611095793231,-3.7801334304685694,0.0147683080976666
25333,2012,ohio_warren,2.7552,2.7822280338594134,2.669983513473817,0.6844444517581706,0.6184793251516498,-1.44413606794703,-3.121973589722649,-2.809199711659572,0.0147683080976666
25375,2012,ohio_auglaize,3.38688,1.8675848912222976,1.6065843917158291,-3.028318441955477,0.5465902726031922,-3.4758918913917025,-3.393618768625484,-2.706642540637189,0.0147683080976666
25417,2012,ohio_champaign,2.76864,2.228698989022195,2.0291518342339327,-1.891273161510152,0.6238138992034582,-3.062962901164524,-3.819564045134019,-3.314609232617547,0.0147683080976666
25459,2012,ohio_clark,2.74176,2.22208211005228,2.0318905335301003,-1.5736234192698857,0.6055945746370384,-3.004279955725998,-3.9811656734758887,-3.663063722616016,0.0147683080976666
25501,2012,ohio_darke,2.86944,0.6633964169466345,-0.0745616140353568,-3.39831944787976,0.6109743439582931,-3.888855915603715,-4.05454085464753,-3.235501302747688,0.0147683080976666
25543,2012,ohio_hardin,3.25248,2.9891778549657246,2.727826766931963,-0.8088301780240528,0.5953270956804879,-2.991640031813842,-3.4543256596628544,-2.8347707914846256,0.0147683080976666
25585,2012,ohio_logan,3.3129599999999995,2.300813043724772,2.064417151197365,-2.248416921876659,0.6506780631887366,-3.191488872083784,-3.5433509173190445,-2.848696107043712,0.0147683080976666
25627,2012,ohio_mercer,3.58848,1.3735058305686316,0.929817468692566,-3.3397323737702727,0.5747927586240201,-3.715502845621321,-3.320905196414801,-2.6932359083531545,0.0147683080976666
25669,2012,ohio_miami,2.74848,1.6716413193051585,1.462340577875666,-3.0089176690242714,0.6182619672409132,-3.492724973432221,-3.863896621165056,-3.200627467901663,0.0147683080976666
25711,2012,ohio_shelby,3.3264,1.4896945050037689,1.2276217640137437,-3.0306466419888327,0.6592285571208518,-3.4093931249091325,-3.460213154950224,-2.760727592140919,0.0147683080976666
